País,Nombre,Min Jugados,Minutos por Partido en Mundial,Porcentaje total,Posición 
Chile,Rodrigo Godoy,"1,825.00",22,24.44%,Delantero
Japón,Rion Ichihara,"2,115.00",86.25,95.83%,Defensa
Nueva Zelanda,Noah Dupont,"2,481.00",2.3,2.56%,Defensa
Egipto,Tebo Gabriel,"2,176.00",90,100.00%,Mediocampista
Ucrania,Vitalii Katrych,"2,302.00",49.75,55.28%,Defensa
Corea del Sur,Shin Min-Ha,"2,200.00",90,100.00%,Defensa
Paraguay,Lucas Quintana,"2,030.00",97.5,100.00%,Defensa
Panamá,Érick Díaz,"1,785.00",30,33.33%,Defensa
Brasil,Rafael Coutinho,"2,633.00",83,92.22%,Mediocampista
México,Elías Montiel,"3,410.00",72,80.00%,Mediocampista
España,David Mella,"2,754.00",28.4,31.56%,Delantero
Marruecos,Ali Maamar,"2,337.00",90,100.00%,Defensa
Italia,Alessandro Berretta,"3,089.00",22.5,25.00%,Mediocampista
Australia,Luka Jovanovic,"2,131.00",44,48.89%,Delantero
Argentina,Tomás Pérez,"1,368.00",60,66.67%,Defensa
Estados Unidos,Joshua Wynder,"2,449.00",90,100.00%,Defensa
Sudáfrica,Neo Rapoo,"1,517.00",82.5,91.67%,Defensa
Francia,Steven Baseya,"2,184.00",78.5,87.22%,Defensa
Colombia,Jordan García,"1,980.00",90,100.00%,Arquero
Nigeria,Ahmed Akinyele,"2,518.00",49.6,55.11%,Defensa
Noruega,Jonathan Norbye,"3,287.00",64.8,72.00%,Defensa